name,cfu, hour,SSD,Ays,semester, degreeprogram,where
Botanica Ambientale,3,30,BIOS-01/C (ex BIO/03).,2023-2024,II,Laurea Magistrale in Biologia ambientale e gestione degli ecosistemi.,"Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Botanica Evoluzionistica,3,30,BIOS-01/C (ex BIO/03).,2023-2024,II,Laurea Triennale in Biologia.,"Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Modellistica Ecologica,3,30,BIOS-01/C (ex BIO/03).,2023-2024,I,Laurea Magistrale in Biologia ambientale e gestione degli ecosistemi.,"Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Gestione dati biologici e ambientali con R Studio,1,10,BIOS-01/C (ex BIO/03).,2023-2024,I,"Laurea Triennale in Scienze e tecnologie per l'ambiente, Corsi a scelta dello studente (AFO).","Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Botanica Ambientale,3,30,BIOS-01/C (ex BIO/03).,2022-2023,II,Laurea Magistrale in Biologia ambientale e gestione degli ecosistemi.,"Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Botanica Sistematica,3,30,BIOS-01/C (ex BIO/03).,2022-2023,II,Laurea Triennale in Biologia,"Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Gestione dati biologici e ambientali con R Studio,3,30,BIOS-01/C (ex BIO/03).,2022-2023,I,"Laurea Triennale in Scienze e tecnologie per l'ambiente, Corsi a scelta dello studente (AFO).","Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Botanica Ambientale,3,24,BIOS-01/C (ex BIO/03).,2021-2022,II,Laurea Magistrale in Biologia ambientale e gestione degli ecosistemi.,"Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Introduzione ad R,1,8,non specificato,2021-2022,II,"Laurea Triennale in Scienze e tecnologie per l'ambiente, Corsi a scelta dello studente (AFO).","Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Introduzione ad R e gestione dati ambientali,1,8,non specificato,2019-2020,I,"Laurea Magistrale in Biologia ambientale e gestione degli ecosistemi, Corsi a scelta dello studente (AFO).","Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
Introduzione ad R,1,8,non specificato,2018-2019,I,"Laurea Magistrale in Biologia ambientale e gestione degli ecosistemi, Corsi a scelta dello studente (AFO).","Dipartimento di Medicina clinica, sanità pubblica, scienze della vita e dell'ambiente (MESVA), Università Degli Studi dell'Aquila, L’Aquila, Italia."
