Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Di Cecco, V; Di Musciano, M; Gratani, L; Catoni, R; Di Martino, L; Frattaroli, AR; ",Seed germination and conservation of two endemic species from Central Apennines (Italy),Pl Sociol,54,,53-59,2017,
"Di Musciano, Michele; Carranza, Maria Laura; Frate, Ludovico; Di Cecco, Valter; Di Martino, Luciano; Frattaroli, Anna Rita; Stanisci, Angela; ",Distribution of plant species and dispersal traits along environmental gradients in central mediterranean summits,Diversity,10,3,58,2018,MDPI
"Rogora, M; Frate, L; Carranza, ML; Freppaz, M; Stanisci, A; Bertani, I; Bottarin, Roberta; Brambilla, A; Canullo, R; Carbognani, M; ",Assessment of climate change effects on mountain ecosystems through a cross-site analysis in the Alps and Apennines,Science of the total environment,624,,1429-1442,2018,Elsevier
"Di Cecco, V; Di Musciano, M; D'Archivio, AA; Frattaroli, AR; Di Martino, L; ","Analysis of intraspecific seed diversity in Astragalus aquilanus (Fabaceae), an endemic species of Central Apennine",Plant Biology,21,3,507-514,2019,
"Djukic, Ika; Kepfer-Rojas, Sebastian; Schmidt, Inger Kappel; Larsen, Klaus Steenberg; Beier, Claus; Berg, Björn; Verheyen, Kris; Caliman, Adriano; Paquette, Alain; Gutiérrez-Girón, Alba; ",Early stage litter decomposition across biomes,Science of the total environment,628,,1369-1394,2018,Elsevier
"Chelli, Stefano; Marignani, Michela; Barni, Elena; Petraglia, Alessandro; Puglielli, Giacomo; Wellstein, Camilla; Acosta, Alicia TR; Bolpagni, Rossano; Bragazza, Luca; Campetella, Giandiego; ",Plant–environment interactions through a functional traits perspective: a review of Italian studies,Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology,153,6,853-869,2019,Taylor & Francis
"Di Cecco, Valter; Di Musciano, Michele; Frattaroli, Anna Rita; Di Martino, Luciano; ","Seed ecology of Saxifraga italica: effects of light, temperature and gibberellic acid",Folia Geobotanica,54,1,139-150,2019,Springer Netherlands Dordrecht
"Gigante, D; Angelini, P; Selvaggi, A; Atr, Acosta; Adorni, M; Allegrezza, M; Angiolini, C; Armiraglio, S; Assini, S; Attorre, F; ","First overview on the 4th Annex I Habitats Report in Italy: methods, criticality, results and future prospects",Vegetation diversaity and global change: 28th Meeting of the European Vegetation Survey abstrcts and programme,,,27-27,2019,Universidad Complutense
"DI CECCO, Valter; DI MUSCIANO, Michele; DI MARTINO, Luciano; D’ARCHIVIO, Angelo; GROSSI, Antonella; DI SANTO, Marco; FRATTAROLI, Anna Rita; ","ANALYSIS OF SEEDS DIVERSITY IN ASTRAGALUS AQUILANUS, AN ENDEMICS SPECIES WITH PHYSICAL DORMANCY",,,,,,
"Di Musciano, Michele; Di Cecco, Valter; Bartolucci, Fabrizio; Conti, Fabio; Frattaroli, Anna Rita; Di Martino, Luciano; ",Dispersal ability of threatened species affects future distributions,Plant Ecology,221,4,265-281,2020,Springer Netherlands
"De Simone, Walter; Di Musciano, Michele; Di Cecco, Valter; Ferella, Giorgia; Frattaroli, Anna Rita; ",The potentiality of Sentinel-2 to assess the effect of fire events on Mediterranean mountain vegetation,Plant Sociology,57,,11-22,2020,Pensoft Publishers
"Mantoni, Cristina; Di Musciano, Michele; Fattorini, Simone; ",Use of microarthropods to evaluate the impact of fire on soil biological quality,Journal of Environmental Management,266,,110624,2020,Academic Press
"Cervellini, Marco; Zannini, Piero; Di Musciano, Michele; Fattorini, Simone; Jiménez-Alfaro, Borja; Rocchini, Duccio; Field, Richard; Vetaas, Ole R; Irl, Severin DH; Beierkuhnlein, Carl; ",A grid-based map for the Biogeographical Regions of Europe,Biodiversity Data Journal,8,,,2020,Pensoft Publishers
"Ciaschetti, Giampiero; Di Musciano, Michele; Pirone, Gianfranco; Di Cecco, Valter; Pace, Loretta; Frattaroli, Anna Rita; ",A new pioneer association of detrital substrata of the hilly and low-mountain belts in Central Apennines (Italy),Plant Sociology,57,,75-84,2020,Pensoft Publishers
"Di Cecco, Valter; Di Santo, Marco; Di Musciano, Michele; Manzi, Aurelio; Di Cecco, Mirella; Ciaschetti, Giampiero; Marcantonio, Giuseppe; Di Martino, Luciano; ",The Majella National Park: a case study for the conservation of plant biodiversity in the Italian Apennines,Italian Botanist,10,,1-24,2020,Pensoft Publishers
"Di Musciano, Michele; Zannini, Piero; Ferrara, Chiara; Spina, Lorenzo; Nascimbene, Juri; Vetaas, Ole R; Bhatta, Kuber P; d'Agostino, Marco; Peruzzi, Lorenzo; Carta, Angelino; ",Investigating elevational gradients of species richness in a Mediterranean plant hotspot using a published flora,Frontiers of Biogeography,13,3,,2021,
"Di Nuzzo, Luca; Vallese, Chiara; Benesperi, Renato; Giordani, Paolo; Chiarucci, Alessandro; Di Cecco, Valter; Di Martino, Luciano; Di Musciano, Michele; Gheza, Gabriele; Lelli, Chiara; ",Contrasting multitaxon responses to climate change in Mediterranean mountains,Scientific reports,11,1,4438,2021,Nature Publishing Group UK London
"De Simone, Walter; Allegrezza, Marina; Frattaroli, Anna Rita; Montecchiari, Silvia; Tesei, Giulio; Zuccarello, Vincenzo; Di Musciano, Michele; ",From remote sensing to species distribution modelling: An integrated workflow to monitor spreading species in key grassland habitats,Remote Sensing,13,10,1904,2021,MDPI
"Theurillat, Jean-Paul; Di Musciano, Michele; Duckert, Olivier; Béguin, Claude; ","Symphytosociology, a Tool for Landscape Monitoring: A Case Study from the Swiss Alps",Tools for Landscape-Scale Geobotany and Conservation,,,267-283,2021,Springer International Publishing
"Cervellini, Marco; Di Musciano, Michele; Zannini, Piero; Fattorini, Simone; Jiménez‐Alfaro, Borja; Agrillo, Emiliano; Attorre, Fabio; Angelini, Pierangela; Beierkuhnlein, Carl; Casella, Laura; ",Diversity of European habitat types is correlated with geography more than climate and human pressure,Ecology and evolution,11,24,18111-18124,2021,
"Cervellini, Marco; Di Musciano, Michele; Zannini, Piero; Fattorini, Simone; Jiménez-Alfaro, Borja; Agrillo, Emiliano; Attorre, Fabio; Angelini, Pierangela; Beierkuhnlein, Carl; Casella, Laura; ",Diversity of EU habitat types is correlated with geography more than climate and human pressure,Authorea Preprints,,,,2021,Authorea
"Valle, Barbara; Cucini, Claudio; Nardi, Francesco; Caccianiga, Marco; Gobbi, Mauro; Di Musciano, Michele; Carapelli, Antonio; Ficetola, Gentile Francesco; Guerrieri, Alessia; Fanciulli, Pietro Paolo; ","Desoria calderonis sp. nov., a new species of alpine cryophilic springtail (Collembola: Isotomidae) from the Apennines (Italy), with phylogenetic and ecological considerations",European journal of taxonomy,787,,32-52,2021,
