PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gatti, RC; Iaria, J; Moretti, G; Amendola, V; Cassola, FM; Cerretti, P; Di Musciano, M; Francesconi, L; Frattaroli, AR; Livornese, M; Martini, M; Nania, D; Pacifici, M; Piovesan, G; Prandelli, S; Rocchini, D; Rondinini, C; Chiarucci, A				Gatti, Roberto Cazzolla; Iaria, Jacopo; Moretti, Gloria; Amendola, Valerio; Cassola, Francesca Maura; Cerretti, Pierfilippo; Di Musciano, Michele; Francesconi, Luana; Frattaroli, Anna Rita; Livornese, Martina; Martini, Matilde; Nania, Dario; Pacifici, Michela; Piovesan, Gianluca; Prandelli, Sofia; Rocchini, Duccio; Rondinini, Carlo; Chiarucci, Alessandro			EU2030 biodiversity strategy: Unveiling gaps in the coverage of ecoregions and threatened species within the strictly protected areas of Italy	JOURNAL FOR NATURE CONSERVATION				Article																				0	0			ELSEVIER GMBH	MUNICH	HACKERBRUCKE 6, 80335 MUNICH, GERMANY						JUN	2024	79								126621	10.1016/j.jnc.2024.126621	http://dx.doi.org/10.1016/j.jnc.2024.126621		MAY 2024	11									2024-08-19	WOS:001241560500001
J	Santi, F; Testolin, R; Zannini, P; Di Musciano, M; Micci, V; Ricci, L; Guarino, R; Bacchetta, G; Fernández-Palacios, JM; Fois, M; Kougioumoutzis, K; Kunt, KB; Lucchi, F; Médail, F; Nikolic, T; Otto, R; Pasta, S; Panitsa, M; Proios, K; Sfenthourakis, S; Simaiakis, SM; Tranne, CA; Triantis, KA; Chiarucci, A				Santi, Francesco; Testolin, Riccardo; Zannini, Piero; Di Musciano, Michele; Micci, Virginia; Ricci, Lorenzo; Guarino, Riccardo; Bacchetta, Gianluigi; Fernandez-Palacios, Jose Maria; Fois, Mauro; Kougioumoutzis, Konstantinos; Kunt, Kadir Bogac; Lucchi, Federico; Medail, Frederic; Nikolic, Toni; Otto, Rudiger; Pasta, Salvatore; Panitsa, Maria; Proios, Konstantinos; Sfenthourakis, Spyros; Simaiakis, Stylianos M.; Tranne, Claudio A.; Triantis, Kostas A.; Chiarucci, Alessandro			MEDIS-A comprehensive spatial database on Mediterranean islands for biogeographical and evolutionary research	GLOBAL ECOLOGY AND BIOGEOGRAPHY				Article																				1	1			WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA						AUG	2024	33	8								10.1111/geb.13855	http://dx.doi.org/10.1111/geb.13855		MAY 2024	8									2024-08-19	WOS:001214064100001
J	Kemppinen, J; Lembrechts, JJ; Van Meerbeek, K; Carnicer, J; Chardon, NI; Kardol, P; Lenoir, J; Liu, DJ; Maclean, I; Pergl, J; Saccone, P; Senior, RA; Shen, T; Slowinska, S; Vandvik, V; von Oppen, J; Aalto, J; Ayalew, B; Bates, O; Bertelsmeier, C; Bertrand, R; Beugnon, R; Borderieux, J; Bruna, J; Buckley, L; Bujan, J; Casanova-Katny, A; Christiansen, DM; Collart, F; De Lombaerde, E; De Pauw, K; Depauw, L; Di Musciano, M; Borrego, RD; Díaz-Calafat, J; Ellis-Soto, D; Esteban, R; de Jong, GF; Gallois, E; Garcia, MB; Gillerot, L; Greiser, C; Gril, E; Haesen, S; Hampe, A; Hedwall, PO; Hes, G; Hespanhol, H; Hoffrén, R; Hylander, K; Jiménez-Alfaro, B; Jucker, T; Klinges, D; Kolstela, J; Kopecky, M; Kovács, B; Maeda, EE; Mális, F; Man, M; Mathiak, C; Meineri, E; Naujokaitis-Lewis, I; Nijs, I; Normand, S; Nuñez, M; Orczewska, A; Peña-Aguilera, P; Pincebourde, S; Plichta, R; Quick, S; Renault, D; Ricci, L; Rissanen, T; Segura-Hernández, L; Selvi, F; Serra-Diaz, JM; Soifer, L; Spicher, F; Svenning, JC; Tamian, A; Thomaes, A; Thoonen, M; Trew, B; van de Vondel, S; van den Brink, L; Vangansbeke, P; Verdonck, S; Vitkova, M; Vives-Ingla, M; von Schmalensee, L; Wang, RX; Wild, J; Williamson, J; Zellweger, F; Zhou, XQ; Zuza, E Jr; De Frenne, P				Kemppinen, Julia; Lembrechts, Jonas J.; Van Meerbeek, Koenraad; Carnicer, Jofre; Chardon, Nathalie Isabelle; Kardol, Paul; Lenoir, Jonathan; Liu, Daijun; Maclean, Ilya; Pergl, Jan; Saccone, Patrick; Senior, Rebecca A.; Shen, Ting; Slowinska, Sandra; Vandvik, Vigdis; von Oppen, Jonathan; Aalto, Juha; Ayalew, Biruk; Bates, Olivia; Bertelsmeier, Cleo; Bertrand, Romain; Beugnon, Remy; Borderieux, Jeremy; Bruna, Josef; Buckley, Lauren; Bujan, Jelena; Casanova-Katny, Angelica; Christiansen, Ditte Marie; Collart, Flavien; De Lombaerde, Emiel; De Pauw, Karen; Depauw, Leen; Di Musciano, Michele; Borrego, Raquel Diaz; Diaz-Calafat, Joan; Ellis-Soto, Diego; Esteban, Raquel; de Jong, Geerte Falthammar; Gallois, Elise; Garcia, Maria Begona; Gillerot, Loic; Greiser, Caroline; Gril, Eva; Haesen, Stef; Hampe, Arndt; Hedwall, Per-Ola; Hes, Gabriel; Hespanhol, Helena; Hoffren, Raul; Hylander, Kristoffer; Jimenez-Alfaro, Borja; Jucker, Tommaso; Klinges, David; Kolstela, Joonas; Kopecky, Martin; Kovacs, Bence; Maeda, Eduardo Eiji; Malis, Frantisek; Man, Matej; Mathiak, Corrie; Meineri, Eric; Naujokaitis-Lewis, Ilona; Nijs, Ivan; Normand, Signe; Nunez, Martin; Orczewska, Anna; Pena-Aguilera, Pablo; Pincebourde, Sylvain; Plichta, Roman; Quick, Susan; Renault, David; Ricci, Lorenzo; Rissanen, Tuuli; Segura-Hernandez, Laura; Selvi, Federico; Serra-Diaz, Josep M.; Soifer, Lydia; Spicher, Fabien; Svenning, Jens-Christian; Tamian, Anouch; Thomaes, Arno; Thoonen, Marijke; Trew, Brittany; van de Vondel, Stijn; van den Brink, Liesbeth; Vangansbeke, Pieter; Verdonck, Sanne; Vitkova, Michaela; Vives-Ingla, Maria; von Schmalensee, Loke; Wang, Runxi; Wild, Jan; Williamson, Joseph; Zellweger, Florian; Zhou, Xiaqu; Junior Zuza, Emmanuel; De Frenne, Pieter			Microclimate, an important part of ecology and biogeography	GLOBAL ECOLOGY AND BIOGEOGRAPHY				Article																				2	2			WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA						JUN	2024	33	6							e13834	10.1111/geb.13834	http://dx.doi.org/10.1111/geb.13834		APR 2024	23						hybrid, Green Submitted			2024-08-19	WOS:001198910900001
J	Knollová, I; Chytry, M; Bruelheide, H; Dullinger, S; Jandt, U; Bernhardt-Römermann, M; Biurrun, I; de Bello, F; Glaser, M; Hennekens, S; Jansen, F; Jiménez-Alfaro, B; Kadas, D; Kaplan, E; Klinkovská, K; Lenzner, B; Pauli, H; Sperandii, MG; Verheyen, K; Winkler, M; Abdaladze, O; Acic, S; Acosta, ATR; Alignier, A; Andrews, C; Arlettaz, R; Attorre, F; Axmanováa, I; Babbi, M; Baeten, L; Baran, J; Barni, E; Benito-Alonso, JL; Berg, C; Bergamini, A; Berki, I; Boch, S; Bock, B; Bode, F; Bonari, G; Boublík, K; Britton, AJ; Brunet, J; Bruzzaniti, V; Buholzer, S; Burrascano, S; Campos, JA; Carlsson, BG; Carranza, ML; Cerny, T; Charmillot, K; Chiarucci, A; Choler, P; Chytry, K; Corcket, E; Csecserits, A; Cutini, M; Czarniecka-Wiera, M; Danihelka, J; de Francesco, MC; De Frenne, P; Di Musciano, M; De Sanctis, M; Deák, B; Decocq, G; Dembicz, I; Dengler, J; Di Cecco, V; Dick, J; Diekmann, M; Dierschke, H; Dirnböck, T; Doerfler, I; Dolezal, J; Döring, U; Durak, T; Dwyer, C; Ejrnæs, R; Ermakova, I; Erschbamer, B; Fanelli, G; Fernández-Calzado, MR; Fickert, T; Fischer, A; Fischer, M; Foremnik, K; Frouz, J; García-González, R; García-Magro, D; García-Mijangos, I; Gavilán, RG; Germ, M; Ghosn, D; Gigauri, K; Gizela, J; Golob, A; Golub, V; Gómez-García, D; Gowing, D; Grytnes, JA; Güler, B; Gutiérrez-Girón, A; Haase, P; Haider, S; Hájek, M; Halassy, M; Harásek, M; Härdtle, W; Heinken, T; Hester, A; Humbert, JY; Ibáñez, R; Illa, E; Jaroszewicz, B; Jensen, K; Jentsch, A; Jirousek, M; Kalniková, V; Kanka, R; Kapfer, J; Kazakis, G; Kermavnar, J; Kesting, S; Khanina, L; Kindermann, E; Kotrík, M; Koutecky, T; Kozub, L; Kuhn, G; Kutnar, L; La Montagna, D; Lamprecht, A; Lenoir, J; Leps, J; Leuschner, C; Lorite, J; Madsen, B; Ugarte, RM; Malicki, M; Maliniemi, T; Malis, F; Maringer, A; Marrs, R; Matesanz, S; Metze, K; Meyer, S; Millett, J; Mitchell, RJ; Moeslund, JE; Moiseev, P; di Cella, UM; Mudrák, O; Müller, F; Müller, N; Naaf, T; Nagy, L; Napoleone, F; Nascimbene, J; Navrátilová, J; Ninot, JM; Niu, YJ; Normand, S; Ogaya, R; Onipchenko, V; Orczewska, A; Ortmann-Ajkai, A; Pakeman, RJ; Pardo, I; Pätsch, R; Peet, RK; Penuelas, J; Peppler-Lisbach, C; Pérez-Hernández, J; Pérez-Haase, A; Petraglia, A; Petrík, P; Pielech, R; Piórkowski, H; Pladevall-Izard, E; Poschlod, P; Prach, K; Praleskouskaya, S; Prokhorov, V; Provoost, S; Puscas, M; Pustková, S; Randin, CF; Rasomavicius, V; Reczynska, K; Rédei, T; Rehounková, K; Richner, N; Risch, AC; Rixen, C; Rosbakh, S; Roscher, C; Rosenthal, G; Rossi, G; Rötzer, H; Roux, C; Rumpf, SB; Ruprecht, E; Rusina, S; Sanz-Zubizarreta, I; Schindler, M; Schmidt, W; Schories, D; Schrautzer, J; Schubert, H; Schuetz, M; Schwabe, A; Schwaiger, H; Schwartze, P; Sebesta, J; Seiler, H; Silc, U; Silva, V; Smilauer, P; Smilauerová, M; Sperle, T; Stachurska-Swakon, A; Stanik, N; Stanisci, A; Steffen, K; Storm, C; Stroh, HG; Sugorkina, N; Swierkosz, K; Swierszcz, S; Szymura, M; Teleki, B; Thébaud, G; Theurillat, JP; Tichy, L; Treier, UA; Turtureanu, PD; Ujházy, K; Ujházyová, M; Ursu, TM; Uzieblo, AK; Valkó, O; Van Calster, H; Van Meerbeek, K; Vandevoorde, B; Vandvik, V; Varricchione, M; Vassilev, K; Villar, L; Virtanen, R; Vittoz, P; Voigt, W; von Hessberg, A; von Oheimb, G; Wagner, E; Walther, GR; Wellstein, C; Wesche, K; Wilhelm, M; Willner, W; Wipf, S; Wittig, B; Wohlgemuth, T; Woodcock, BA; Wulf, M; Essl, F				Knollova, Ilona; Chytry, Milan; Bruelheide, Helge; Dullinger, Stefan; Jandt, Ute; Bernhardt-Romermann, Markus; Biurrun, Idoia; de Bello, Francesco; Glaser, Michael; Hennekens, Stephan; Jansen, Florian; Jimenez-Alfaro, Borja; Kadas, Daniel; Kaplan, Ekin; Klinkovska, Klara; Lenzner, Bernd; Pauli, Harald; Sperandii, Marta Gaia; Verheyen, Kris; Winkler, Manuela; Abdaladze, Otar; Acic, Svetlana; Acosta, Alicia T. R.; Alignier, Audrey; Andrews, Christopher; Arlettaz, Raphael; Attorre, Fabio; Axmanova, Irena; Babbi, Manuel; Baeten, Lander; Baran, Jakub; Barni, Elena; Benito-Alonso, Jose-Luis; Berg, Christian; Bergamini, Ariel; Berki, Imre; Boch, Steffen; Bock, Barbara; Bode, Frank; Bonari, Gianmaria; Boublik, Karel; Britton, Andrea J.; Brunet, Joerg; Bruzzaniti, Vanessa; Buholzer, Serge; Burrascano, Sabina; Campos, Juan A.; Carlsson, Bengt-Goeran; Carranza, Maria Laura; Cerny, Tomas; Charmillot, Kevin; Chiarucci, Alessandro; Choler, Philippe; Chytry, Krystof; Corcket, Emmanuel; Csecserits, Aniko; Cutini, Maurizio; Czarniecka-Wiera, Marta; Danihelka, Jiri; de Francesco, Maria Carla; De Frenne, Pieter; Di Musciano, Michele; De Sanctis, Michele; Deak, Balazs; Decocq, Guillaume; Dembicz, Iwona; Dengler, Juergen; Di Cecco, Valter; Dick, Jan; Diekmann, Martin; Dierschke, Hartmut; Dirnboeck, Thomas; Doerfler, Inken; Dolezal, Jiri; Doering, Ute; Durak, Tomasz; Dwyer, Ciara; Ejrnaes, Rasmus; Ermakova, Inna; Erschbamer, Brigitta; Fanelli, Giuliano; Fernandez-Calzado, Maria-Rosa; Fickert, Thomas; Fischer, Andrea; Fischer, Markus; Foremnik, Kacper; Frouz, Jan; Garcia-Gonzalez, Ricardo; Garcia-Magro, Daniel; Garcia-Mijangos, Itziar; Gavilan, Rosario G.; Germ, Mateja; Ghosn, Dany; Gigauri, Khatuna; Gizela, Jaroslav; Golob, Aleksandra; Golub, Valentin; Gomez-Garcia, Daniel; Gowing, David; Grytnes, John-Arvid; Gueler, Behlul; Gutierrez-Giron, Alba; Haase, Peter; Haider, Sylvia; Hajek, Michal; Halassy, Melinda; Harasek, Martin; Haerdtle, Werner; Heinken, Thilo; Hester, Alison; Humbert, Jean-Yves; Ibanez, Ricardo; Illa, Estela; Jaroszewicz, Bogdan; Jensen, Kai; Jentsch, Anke; Jirousek, Martin; Kalnikova, Veronika; Kanka, Robert; Kapfer, Jutta; Kazakis, George; Kermavnar, Janez; Kesting, Stefan; Khanina, Larisa; Kindermann, Elisabeth; Kotrik, Marek; Koutecky, Tomas; Kozub, Lukasz; Kuhn, Gisbert; Kutnar, Lado; La Montagna, Dario; Lamprecht, Andrea; Lenoir, Jonathan; Leps, Jan; Leuschner, Christoph; Lorite, Juan; Madsen, Bjarke; Ugarte, Rosina Magana; Malicki, Marek; Maliniemi, Tuija; Malis, Frantisek; Maringer, Alexander; Marrs, Robert; Matesanz, Silvia; Metze, Katrin; Meyer, Stefan; Millett, Jonathan; Mitchell, Ruth J.; Moeslund, Jesper Erenskjold; Moiseev, Pavel; di Cella, Umberto Morra; Mudrak, Ondrej; Mueller, Frank; Mueller, Norbert; Naaf, Tobias; Nagy, Laszlo; Napoleone, Francesca; Nascimbene, Juri; Navratilova, Jana; Ninot, Josep M.; Niu, Yujie; Normand, Signe; Ogaya, Roma; Onipchenko, Vladimir; Orczewska, Anna; Ortmann-Ajkai, Adrienne; Pakeman, Robin J.; Pardo, Iker; Paetsch, Ricarda; Peet, Robert K.; Penuelas, Josep; Peppler-Lisbach, Cord; Perez-Hernandez, Javier; Perez-Haase, Aaron; Petraglia, Alessandro; Petrik, Petr; Pielech, Remigiusz; Piorkowski, Hubert; Pladevall-Izard, Eulalia; Poschlod, Peter; Prach, Karel; Praleskouskaya, Safiya; Prokhorov, Vadim; Provoost, Sam; Puscas, Mihai; Pustkova, Stepanka; Randin, Christophe Francois; Rasomavicius, Valerijus; Reczynska, Kamila; Redei, Tamas; Rehounkova, Klara; Richner, Nina; Risch, Anita C.; Rixen, Christian; Rosbakh, Sergey; Roscher, Christiane; Rosenthal, Gert; Rossi, Graziano; Roetzer, Harald; Roux, Camille; Rumpf, Sabine B.; Ruprecht, Eszter; Rusina, Solvita; Sanz-Zubizarreta, Irati; Schindler, Meret; Schmidt, Wolfgang; Schories, Dirk; Schrautzer, Joachim; Schubert, Hendrik; Schuetz, Martin; Schwabe, Angelika; Schwaiger, Helena; Schwartze, Peter; Sebesta, Jan; Seiler, Hallie; Silc, Urban; Silva, Vasco; Smilauer, Petr; Smilauerova, Marie; Sperle, Thomas; Stachurska-Swakon, Alina; Stanik, Nils; Stanisci, Angela; Steffen, Kristina; Storm, Christian; Stroh, Hans Georg; Sugorkina, Nadezhda; Swierkosz, Krzysztof; Swierszcz, Sebastian; Szymura, Magdalena; Teleki, Balazs; Thebaud, Gilles; Theurillat, Jean-Paul; Tichy, Lubomir; Treier, Urs A.; Turtureanu, Pavel Dan; Ujhazy, Karol; Ujhazyova, Mariana; Ursu, Tudor Mihai; Uzieblo, Aldona K.; Valko, Orsolya; Van Calster, Hans; Van Meerbeek, Koenraad; Vandevoorde, Bart; Vandvik, Vigdis; Varricchione, Marco; Vassilev, Kiril; Villar, Luis; Virtanen, Risto; Vittoz, Pascal; Voigt, Winfried; von Hessberg, Andreas; von Oheimb, Goddert; Wagner, Eva; Walther, Gian-Reto; Wellstein, Camilla; Wesche, Karsten; Wilhelm, Markus; Willner, Wolfgang; Wipf, Sonja; Wittig, Burghard; Wohlgemuth, Thomas; Woodcock, Ben A.; Wulf, Monika; Essl, Franz			ReSurveyEurope: A database of resurveyed vegetation plots in Europe	JOURNAL OF VEGETATION SCIENCE				Article																				2	2			WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA						MAR	2024	35	2							e13235	10.1111/jvs.13235	http://dx.doi.org/10.1111/jvs.13235			18						hybrid			2024-08-19	WOS:001203200700001
J	Ricci, L; Di Musciano, M; Sabatini, FM; Chiarucci, A; Zannini, P; Gatti, RC; Beierkuhnlein, C; Walentowitz, A; Lawrence, A; Frattaroli, AR; Hoffmann, S				Ricci, Lorenzo; Di Musciano, Michele; Sabatini, Francesco Maria; Chiarucci, Alessandro; Zannini, Piero; Gatti, Roberto Cazzolla; Beierkuhnlein, Carl; Walentowitz, Anna; Lawrence, Alexandra; Frattaroli, Anna Rita; Hoffmann, Samuel			A multitaxonomic assessment of Natura 2000 effectiveness across European biogeographic regions	CONSERVATION BIOLOGY				Article																				4	4			WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA						JUN	2024	38	3								10.1111/cobi.14212	http://dx.doi.org/10.1111/cobi.14212		FEB 2024	14						hybrid			2024-08-19	WOS:001161440600001
J	Ricci, L; Farda, B; Ferrara, A; Cerasoli, F; De Simone, W; Frattaroli, AR; Pirone, G; Di Musciano, M				Ricci, Lorenzo; Farda, Beatrice; Ferrara, Arianna; Cerasoli, Francesco; De Simone, Walter; Frattaroli, Anna Rita; Pirone, Gianfranco; Di Musciano, Michele			Short-term functional response to post-fire vegetation dynamic: A case study in a Mediterranean<i> Pinus</i><i> halepensis</i> forest	FLORA				Article																				0	0			ELSEVIER GMBH	MUNICH	HACKERBRUCKE 6, 80335 MUNICH, GERMANY						JAN	2024	310								152415	10.1016/j.flora.2023.152415	http://dx.doi.org/10.1016/j.flora.2023.152415		DEC 2023	13						hybrid			2024-08-19	WOS:001139607200001
J	Lussu, M; Ancillotto, L; Labadessa, R; Di Musciano, M; Zannini, P; Testolin, R; Santi, F; Dolci, D; Conti, M; Marignani, M; Martellos, S; Peruzzi, L; Chiarucci, A				Lussu, Michele; Ancillotto, Leonardo; Labadessa, Rocco; Di Musciano, Michele; Zannini, Piero; Testolin, Riccardo; Santi, Francesco; Dolci, David; Conti, Matteo; Marignani, Michela; Martellos, Stefano; Peruzzi, Lorenzo; Chiarucci, Alessandro			Prioritizing conservation of terrestrial orchids: A gap analysis for Italy	BIOLOGICAL CONSERVATION				Article																				1	1			ELSEVIER SCI LTD	London	125 London Wall, London, ENGLAND						JAN	2024	289								110385	10.1016/j.biocon.2023.110385	http://dx.doi.org/10.1016/j.biocon.2023.110385		DEC 2023	9						hybrid			2024-08-19	WOS:001137477600001
J	Testolin, R; Attorre, F; Bruzzaniti, V; Guarino, R; Jiménez-Alfaro, B; Lussu, M; Martellos, S; Di Musciano, M; Pasta, S; Sabatini, FM; Santi, F; Zannini, P; Chiarucci, A				Testolin, Riccardo; Attorre, Fabio; Bruzzaniti, Vanessa; Guarino, Riccardo; Jimenez-Alfaro, Borja; Lussu, Michele; Martellos, Stefano; Di Musciano, Michele; Pasta, Salvatore; Sabatini, Francesco Maria; Santi, Francesco; Zannini, Piero; Chiarucci, Alessandro			Plant species richness hotspots and related drivers across spatial scales in small Mediterranean islands	JOURNAL OF SYSTEMATICS AND EVOLUTION				Article																				5	5			WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA						MAR	2024	62	2			SI		242	256		10.1111/jse.13034	http://dx.doi.org/10.1111/jse.13034		NOV 2023	15						hybrid			2024-08-19	WOS:001108971800001
J	Gatti, RC; Zannini, P; Piovesan, G; Alessi, N; Basset, A; Beierkuhnlein, C; Di Musciano, M; Field, R; Halley, JM; Hoffmann, S; Iaria, J; Kallimanis, A; Lövei, GL; Morera, A; Provenzale, A; Rocchini, D; Vetaas, OR; Chiarucci, A				Gatti, Roberto Cazzolla; Zannini, Piero; Piovesan, Gianluca; Alessi, Nicola; Basset, Alberto; Beierkuhnlein, Carl; Di Musciano, Michele; Field, Richard; Halley, John M. M.; Hoffmann, Samuel; Iaria, Jacopo; Kallimanis, Athanasios; Lovei, Gabor L. L.; Morera, Albert; Provenzale, Antonello; Rocchini, Duccio; Vetaas, Ole R. R.; Chiarucci, Alessandro			Analysing the distribution of strictly protected areas toward the EU2030 target (vol 32, pg 3157, 2023)	BIODIVERSITY AND CONSERVATION				Correction; Early Access																				0	0			SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS						2023 JUL 20	2023										10.1007/s10531-023-02683-y	http://dx.doi.org/10.1007/s10531-023-02683-y		JUL 2023	3						hybrid			2024-08-19	WOS:001033433400001
J	Gatti, RC; Zannini, P; Piovesan, G; Alessi, N; Basset, A; Beierkuhnlein, C; Di Musciano, M; Field, R; Halley, JM; Hoffmann, S; Iaria, J; Kallimanis, A; Lövei, G; Morera, A; Provenzale, A; Rocchini, D; Vetaas, OR; Chiarucci, A				Gatti, Roberto Cazzolla; Zannini, Piero; Piovesan, Gianluca; Alessi, Nicola; Basset, Alberto; Beierkuhnlein, Carl; Di Musciano, Michele; Field, Richard; Halley, John M.; Hoffmann, Samuel; Iaria, Jacopo; Kallimanis, Athanasios; Lovei, Gabor L.; Morera, Albert; Provenzale, Antonello; Rocchini, Duccio; Vetaas, Ole R.; Chiarucci, Alessandro			Analysing the distribution of strictly protected areas toward the EU2030 target	BIODIVERSITY AND CONSERVATION				Article																				8	8			SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS						AUG	2023	32	10					3157	3174		10.1007/s10531-023-02644-5	http://dx.doi.org/10.1007/s10531-023-02644-5		JUN 2023	18						hybrid			2024-08-19	WOS:001016038800001
